Question,Answer
Are turtle eggs leathery and soft ,Yes 
Are turtle eggs leathery and soft ,yes 
Are turtles being examined for longevity genes ,Yes 
Are turtles being examined for longevity genes ,yes 
What suborder of turtles is extinct ,Paracryptodira 
What suborder of turtles is extinct ,Paracryptodira 
What do turtle eggs preared to eat consist mainly of ,Yolk 
Where do sea turtles lay their eggs ,Holes Dug into the Mud or Sand 
Where do sea turtles lay their eggs ,holes dug into mud or sand 
What is the smallest suborder of turtles ,Pleurodira 
What is the smallest suborder of turtles ,Pleurodira 
What are turtle eggs covered in when they incubate ,Mud or Sand 
What are turtle eggs covered in when they incubate ,mud or sand 
What type of creatures breathe air and dont lay eggs underwater ,Amniotes 
What type of creatures breathe air and dont lay eggs underwater ,amnoites 
What are deposited in holes dug into mud or sand ,eggs 
What sort of turtles are ectothermic ,all of them 
Are turtles ectothermic ,yes 
Are the largest turtles aquatic ,yes 
Is aquatic respiration in Australian freshwater turtles being studied ,yes 
These projections called papillae have what ,rich blood supply 
The eggs of the largest species are what ,spherical 
Has this inspired genetic researchers to begin examining the turtle genome for longevity genes ,yes 
Can turtles take many years to reach breeding age ,yes 
Are Immature sea turtles not cared for by the adults ,yes 
Are the Pleurodira sometimes known as the sidenecked turtles reference to the way they withdraw their heads into their shells ,yes 
Does the Order Testudines not include both extant LRB living RRB and extinct species the earliest known turtles being from around 215 million years ago ,yes 
Was Ulysses Grant general in the American Civil War ,Yes 
Was Ulysses Grant general in the American Civil War ,yes 
Was Grants fatherinlaw Democrat ,Yes 
Was Grants fatherinlaw Democrat ,yup 
Did Ulysses win the Battle of Champion Hill ,Yes 
Did Ulysses win the Battle of Champion Hill ,you betcha 
Who was Grants brother in law ,Fred Dent 
Who was Grants brother in law ,Fred Dent 
Where was Grant born ,Point Pleasant Ohio 
Where was Grant born ,log cabin in Point Pleasant Clermont County Ohio 
What was Grants political affiliation ,Republican 
What was Grants political affiliation ,Republican 
Why did Grant say Damn had nothing to do with this batte ,It went well 
Why did Grant say Damn had nothing to do with this batte ,Because the generals under him acted on their own 
Did Horace Greenley lose in the presidential elections of 1872 ,Yes 
Did Horace Greenley lose in the presidential elections of 1872 ,si 
Why did Grant think that war was unjust ,He thought it was designed to gain land open to slavery 
Why did Grant think that war was unjust ,He accepted the theory that it was designed to gain land open to slavery 
Who achieved international fame as the leading Union general in the American Civil War ,Grant 
Grant was elected president as Republican in what year ,1868 
Who took hard line that reduced violence by groups like the Ku Klux Klan ,Grant 
When did he vote for democrat james buchanan ,1856 
Who did President Lincoln promote of major general in the regular army effective July ,Grant 
Was Grant elected president as Republican ,yes 
What was from Pennsylvania ,His father 
Was it twosentence description that completely caught the essence of Ulysses Grant ,yes 
Was Grant favorite brand of bourbon whiskey Old Crow ,yes 
Had he smoked only sporadically ,yes 
Did Grant Perkins not sell harnesses saddles and other leather goods and purchase hides from farmers in the prosperous Galena area ,they did 
Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ,yes 
What happened in 1865 ,he accepted the surrender of Robert Lee 
What happened in recent years ,his reputation as president has improved 
Is Uruguay located in the northwesten part of Africa ,No 
Is Uruguay located in the northwesten part of Africa ,no 
Is Uruguays capital Montevideo ,Yes 
Is Uruguays capital Montevideo ,yes 
Does Uruguay have cold summers ,No 
Does Uruguay have cold summers ,no 
Who founded Montevideo ,The Spanish 
Who founded Montevideo ,the Spanish 
Where is Uruguays oldest church ,San Carlos Maldonado 
Where is Uruguays oldest church ,San Carlos Maldonado 
Who heavily influenced the architecture and culture of Montevideo ,European immigrants 
Who heavily influenced the architecture and culture of Montevideo ,European immigrants 
What are poor neighborhoods called informally ,Cantegriles 
What are poor neighborhoods called informally ,Cantegriles 
Is uruguays landscape mountainous ,No 
Is uruguays landscape mountainous ,not really 
What religion do most Uruguayans profess ,None 
What religion do most Uruguayans profess ,Roman Catholic 
Is Uruguay located in South America ,Yes Its located in the southeastern part 
Is Uruguay located in South America ,Yes 
Can citizens propose changes to the Constitution ,Yes People are allowed to challenge laws 
Can citizens propose changes to the Constitution ,Yes 
Did Uruguay host the first ever World Cup ,Yes in 1930 
Did Uruguay host the first ever World Cup ,Yes 
Who founded Montevideo ,By the Spanish in the early 18th century 
Who founded Montevideo ,Montevideo was founded by the Spanish in the early 18th century as military stronghold 
How many square kilometres of continental land is Uruguay ,176215 km 
How many square kilometres of continental land is Uruguay ,176214 square kilometres 
How much of the population is of white European descent ,88% 
How much of the population is of white European descent ,Approximately 88% of its population are of prevalently white European descent 
Why was the capital of Uruguay founded ,For military stronghold 
Why was the capital of Uruguay founded ,Uruguays capital Montevideo was founded by the Spanish in the early 18th century as military stronghold 
How many times has Uruguay won the World Cup ,Twice 
How many times has Uruguay won the World Cup ,On two or more occasions 
How much is the average income of an African woman compared to European man ,African women earns 065 0718 4667% of European man earns in average 
Does Uruguay recognize samesex civil unions ,Yes 
Does Uruguay recognize samesex civil unions ,Yes 
Does Uruguay border French Guiana ,No 
Does Uruguay border French Guiana ,No 
Is Uruguays warmest month June ,No 
Is Uruguays warmest month June ,No 
What does citizen use to propose changes to the Constitution ,Referendum 
What does citizen use to propose changes to the Constitution ,Plebiscite 
Where is Uruguays oldest church ,San Carlos Maldonado 
Where is Uruguays oldest church ,San Carlos Maldonado 
What religions are found in Uruguay ,Roman Catholic Protestant Jewish and nonprofessing 
What religions are found in Uruguay ,Roman Catholic Protestant Jewish 
What has Uruguay done to be competitive in agriculture ,Labeling as Natural or Ecological 
What has Uruguay done to be competitive in agriculture ,Use low inputs of labour technology and capital which results in lower yields but also opens the door for Uruguay to market its products as natural or ecological 
What are the names of Uruguays political parties ,Partido Colorado and Partido Blanco 
What are the names of Uruguays political parties ,Partido Blanco and Partido Colorado 
Is Uruguay the smallest soverign nation in South America ,No 
Is Uruguay the smallest soverign nation in South America ,No 
What was founded by the Spanish in the early 18th century as military stronghold ,Montevideo 
What has many possible meanings ,What 
How do india and latin america relate ,Uruguay exports architectural services to India and Latin America 
What did Uruguay win in 1828 ,Its independence 
Is Uruguay very common ,No 
Is The climate in Uruguay temperate ,Yes 
Is the main sport in Uruguay football ,Yes 
Is Uruguay oldest church in San Carlos Maldonado ,Yes 
Is Uruguay member of the Cairns Group of exporters of agricultural products ,Yes 
Is it widely considered the most secular nation in Latin America ,Yes 
Is it the second smallest independent country in south america larger only than suriname and the french overseas department of french guiana ,Yes 
Is it constitutional democracy where the president fulfills the roles of both head of state and head of government ,Yes 
Was Woodrow Wilson the thirtieth President of the United States ,no 
Was Woodrow Wilson the thirtieth President of the United States ,No 
Did Woodrow Wilson create the League of Nations ,yes 
Did Woodrow Wilson create the League of Nations ,Yes 
Did the US join the League of Nations ,no 
Did the US join the League of Nations ,No 
Where was the League of Nations created ,Paris 
Where was the League of Nations created ,Paris 
When was Woodrow Wilson born ,December 28 1856 
When was Woodrow Wilson born ,December 28 1856 
Who was President when Wilson finished Congressional Government ,Grover Cleveland 
Who was President when Wilson finished Congressional Government ,Grover Cleveland 
What field did Woodrow Wilson leave law practice to study ,history and political science 
What field did Woodrow Wilson leave law practice to study ,Government 
What caused Wilson to ask Congress to declare war on the Central Powers ,German began unrestricted submarine warfare 
What caused Wilson to ask Congress to declare war on the Central Powers ,World War 
What was more damaging than moving students into colleges ,His confrontation with Andrew Fleming West 
Was Wilson member of the Phi Kappa Psi fraternity ,yes 
Was Wilson member of the Phi Kappa Psi fraternity ,Totally 
Was Wilson an automobile enthusiast ,yes 
Was Wilson an automobile enthusiast ,ouai 
Did Wilsons father own slaves ,yes 
Did Wilsons father own slaves ,Yeah 
Where is Wilson buried ,He was buried in Washington National Cathedral 
Where is Wilson buried ,Washington National Cathedral 
Where did Wilson attend law school ,Wilson attended law school at University of Virginia 
Where did Wilson attend law school ,University of Virginia 
Where was Woodrow Wilson born ,Woodrow Wilson was born in Staunton Virginia 
Where was Woodrow Wilson born ,Staunton Virginia 
Did Wilson support desegregation ,no 
Did Wilson support desegregation ,Not in the slightest 
Did Wilson support the committee system ,no 
Did Wilson support the committee system ,No 
Did Wilson have any siblings ,yes 
What was ScotsIrish and Scottish ,His ancestry 
What defended slavery owned slaves and set up Sunday school for them ,His father 
Who did Wilson win in 1917 ,Irish Americans 
Was Wilson awarded the 1919 Nobel Peace Prize ,Yes 
Was Wilson remarkably effective writer and thinker ,Yes 
What lived in Columbia ,Wilson 
Was Wilson president of the American Political Science Association in 1910 ,Yes 
Did he not cast his ballot for John Palmer the presidential candidate of the National Democratic Party or Gold Democrats shortlived party that supported gold standard low tariffs and limited government ,Yes 
Did Wilson not spend 1914 through the beginning of 1917 trying to keep America out of the war in Europe ,Yes 
Was Wilson staunch opponent of antisemitism sympathetic to the plight of Jews especially in Poland and in France ,Yes 
What happened in 1917 ,raised billions through Liberty loans imposed an income tax set up the War Industries Board promoted labor union growth supervised agriculture and food production through the Lever Act took over control of the railroads and suppressed antiwar movements 
